Character,Dialogue
Johnny,He's moron!
Johnny,(Pots and dishes clatter)
Johnny,"Key's under the mat, is it?"
Johnny,The key is under the mat!
Johnny,(Ripping sound)
Johnny,Agh! That's great! Lying son-of-a...
Johnny,(pan crashes on floor)
Johnny,Agh! Idiot man!
Johnny,Moron!
Johnny,"Ha! Oh, good."
Moira,: John?!
Johnny,": Yeah! Coming, honey!"
Johnny,I'm coming.
Johnny,(Blows out his breath)
Johnny,(Lock clicks)
Johnny,Well hellooooo.
Johnny,"Oh, my car broke down and it's raining, and I wondered if I might spend the night."
Johnny,"Well, first let's get you out of those... dry clothes and we'll see where the night takes us."
David,: So I need to flesh out this games night thing.
David,"Between you and my sister, and the barn guy and that girl in the restaurant, we have 5, and obviously we need an even 6 for ultimate game play."
Stevie,": Well, what if I'm not a games person?"
David,": We're far too similar for you not to be, so..."
David,"Options, please."
David,"Obviously they need to be funny, and smart, and have well-rounded sense of humour and a wide range of knowledge."
David,"Oh, all those types of people move away from here."
David,: That's funny.
Stevie,": No, I'm serious."
Stevie,": Ooh, what about Eric?"
David,: Hmm?
David,He finished high school.
David,I don't love his look.
David,"Oh, looks are important? Oh... Why don't we throw a pageant?"
David,"Trust me, if I had time, we would, but we don't, so..."
David,What about Sarah? She's cute and speaks english.
David,Hmm? Mm...
David,She get it?
Stevie,: Get what?
Stevie,"Like ""get it"" get it. It, like the vibe."
Stevie,"Understand that games night needs to run a certain way, otherwise it won't work."
Stevie,Can I be on your team? You sound really fun.
David,": Listen, you don't have to help me out if you don't want to."
David,: I can find someone else.
Stevie,: Really?
David,: Mm-hmm.
Stevie,: Okay.
David,": Well, it's-okay."
Stevie,: Have fun.
David,: Okay.
Stevie,: My money's on the other team.
Stevie,"(Receding footsteps, cars rumble by)"
Stevie,(door opens)
David,: Hi. (Door clicks shut)
David,Can I help you?
David,"Yeah, I just uh... Came to apologize."
David,For what?
David,For uninviting you to games night.
David,You did not uninvite me. I uninvited myself.
David,"Mm-hmm. Okay, well, um..."
David,I would really like it if you came and I would really love it if you could bring... one other person of your choosing.
David,So it doesn't matter if they don't blend?
David,M-mm-mm.
David,And this doesn't have anything to do with the fact that you couldn't find anybody else to come?
David,(Scoffs) No. What? No. I...
David,"You are a very bright, funny person, with a wide range of useful knowledge and the fact that we don't have an ideal number for team style game-play, is not... not why I'm here."
David,You're such a liar.
David,And I was bluffing when I said I wasn't coming.
David,"I just wanted to see you beg, so..."
David,: Okay.
Stevie,": I'll put out some feelers, but, you know, such short notice, all the town hotties will have plans."
Stevie,"I'll see you tonight! Yeah, thanks."
David,: Thank you.
Stevie,: Welcome.
Moira,: This place is almost charming. Very rustic cottage.
Moira,I was half expecting early unibomber.
Johnny,": Oh, look! Roland and Jocelyn."
Moira,: Who are the other two?
Johnny,": Well, that's Bob. He's on the town council."
Moira,: And his partner?
Moira,"Roland has gay friends! Again, shocked and delighted."
Moira,I think that's his wife.
Moira,": No, they're both called husband."
Moira,Look at the them smiling away.
Moira,What have they got to be so happy about?
Johnny,": Well, they have no money issues. That's why they're so happy."
Johnny,"Yeah, they just don't know any better."
Johnny,"(Birds sing, crickets chirp)"
David,": So, Eric, how do you know Stevie?"
Eric,: She used to be my babysitter.
Eric,Great. Wow. Okay.
Eric,And how are your... Trivia skills?
Eric,: My what?
David,: Oh my God.
David,Okay. Good choice. Good choice.
David,(Knock at the door)
Alexis,: (Squeals excitedly)
Alexis,(Door opens)
Alexis,You guys came. Together. That's so cute! Come in!
Alexis,"Twyla, you look amazing!"
Alexis,"Mutt, you look like a mill dollars."
Twyla,": Okay, so I brought this pie from work but on the way, I realized I didn't check what kind so there's a 50/50 chance there's meat in it."
Alexis,": Oh my God, that's so cute. Thank you."
David,": Okay, so it's 8:15. It's 8:15."
David,"We should have started at 8. So... fifteen minutes late, let's sit down and I will... explain the game."
Alexis,: And I would just like to thank everybody so much for coming.
Alexis,"This is the first social thing that I've done in like a really long time, so let's just have so much fun and we'll just see where the night takes us."
David,": Well, it'll take us to a three part games night that ends at 10."
Alexis,": Okay, well, we'll see."
David,": Okay, so let's start."
Alexis,: Okay.
David,: Let's start by putting down 10 famous names onto the pieces of paper in front of you.
Mutt,: I don't think I can fit ten names on this piece of paper.
David,: That's funny. That's funny. No. One per piece of paper.
David,"Ten pieces of paper, ten names."
Eric,: Who should I put down?
David,": I can't tell you that, Eric,"
David,'cause that would wreck the game.
Eric,: So then how do I know what to put?
David,: Oh my God.
Stevie,: (Whispers) Relax.
Twyla,: Can you put yourself down?
Alexis,": Oh, okay, who wants a shot? Because I do."
David,": No, we need to finish putting the names down first."
David,(Knock at the door)
David,: Who's that?
Alexis,": Okay, I may or may not have invited a few other people."
David,: What kind-who?
David,I don't know. I met them on the way home.
David,"(Running footsteps, door clicks open)"
Alexis,: Hey!
Dane,: Hey.
Alexis,: How are you?
Dane,": Good, good."
Alexis,: Good. Hey!
Dane,": Hey, kids."
Dane,Stevie... Mutt... Twyla.
Stevie,": Hey, Dane."
David,: Who the... Bleep... is this?
David,"He's the worst, okay? So just breathe through it."
David,: Hi. David Rose. Oh... 'Kay.
David,"So we have split into teams and that's an odd number, so we're... stuck."
David,No worries. We're here for the party. Keg's in the truck.
David,What kegs? No one ordered a keg.
David,"David, can you please not be rude in front of..."
Dane,: Dane.
Alexis,: Dane?
Eric,: So now what?
David,": (Jumps) Oh, God!"
David,"In the bowl, Eric. Put them in the..."
David,"(Papers rustle, pen clatters)"
David,(Crickets chirp)
Johnny,: Wow.
Moira,: Yeah.
Moira,I can't see out of one eye.
Moira,"But I'm still alive, that's the main thing."
Moira,(Sighs) I'm hungry. Should I go get...
Moira,No! No. You don't have to get anything.
Moira,"I will get some food, I will get the wine."
Moira,You... have done more than enough.
Moira,(Wine glasses clink)
Bob,": Oh good, you're done."
Bob,We uh... we didn't wanna interrupt.
Johnny,: What're doing here?
Bob,": Oh, just finishing off the latest Harold Zable novel."
Bob,(Chuckles) You ever read him?
Bob,How long have you been here?
Bob,Quite a while.
Bob,"Yeah, you seemed to have a little trouble there, getting going."
Bob,"And, uh, well, we uh..."
Bob,"We didn't think you needed the extra pressure on you, so..."
Gwen,": Oh, hi! You're good."
Moira,: And you are?
Bob,": I'm Bob, this is my wife Gwen, and, uh, this is our cabin."
Johnny,": Oh, no, no, no. This is Roland and Jocelyn's cabin."
Gwen,": No, they're a mile up the road."
Bob,": Big tree, a fence. You can't miss it."
Bob,"(Awkward silence, Johnny sighs)"
David,: She died! She's a dead person!
Twyla,: Marilyn Monroe!
David,: No! She helps people!
Twyla,: Oprah.
Stevie,: Calcutta! Calcutta!
David,: Calcutta! The lepers!
David,She's the mother... She's a mother...
David,": It's not your turn, Alexis!"
Twyla,: Princess Diana.
Stevie and David,: No! She's...
David,": The lepers in Calcutta, she helps them."
Stevie,: Lepers! Lepers!
David,: There's all these lepers.
Alexis,: Stop yelling at her though!
David,: It's the point of the game is the yell!
David,She's a mother and has your cousin's name.
Twyla,: Teresa?
Twyla,: Mother Teresa!
Alexis,: Yes!
David,: You can't say mother! You can't say mother!
Mutt,: She wasn't getting it.
David,: That's the point!
David,"Anyway, no points for them. We have to start this again."
Dane,: This party's terrible.
David,: Excuse me?
Alexis,": Okay, so then, hey, why don't we do something else, like a drinking game."
David,: No! Absolutely not!
David,"Every time the vein in my brother's eye twitches, we take a drink."
David,: Why would you bring up my eye in front of all these people?
David,(Knock at the door)
David,: Who is that?!
Alexis,: Calm down.
Alexis,"Dane thought he should just invite over a few more of his friends, so..."
David,": Oh, did he?"
Alexis,: Yeah.
Dane,: Who's up for strip poker?
David,": Okay, you know what? I'm out. No, that's it."
David,I'm gonna call it a night. I'm gonna pack it in.
David,"Eric, don't look at my eye!"
Alexis,: Why are you being such an old woman?
Alexis,"I'm sorry that I wanted to have fun tonight and invite a few random guys over and try and make out with them, okay?"
Alexis,You're not the only one dying in this town.
Alexis,It is boring and I am just trying to make the best of it.
Alexis,"I'm really sorry everybody. No offense, okay?"
Twyla,: I'm well-versed in family conflict...
David,: I'm sure you are. Alexis?
David,"If you want to party, have a party."
David,"But I have a queen bed next door with my name on it and I have been looking forward to sleeping in that bed all day, so..."
Mutt,: Maybe we should go.
Alexis,": No. You know what, guys? It's totally fine."
Alexis,"David, I would love it if you would come and party with us, but it's totally up to you."
David,: And I'm totally gonna go. So everybody have a good night.
David,I don't know who you are!
David,"Dane, put that down and get off my bed!"
David,No one on my bed tonight. And don't-no one throw up!
David,(Door slams shut)
David,"So his eye twitched five times, so drink up, b*tches!"
Guys,: All right!
Alexis,: Woo!
Dane,: sh*ts! All right. Ready and...
Johnny,": And once again, my apologies."
Moira,": And I'm sorry, I don't know how to make a bed."
Johnny,": And I may have damaged your corkscrew, Bob."
Bob,: You broke it in half.
Bob,(Door rattles as Johnny struggles)
Johnny,": Okay, the door, it won't open. The door won't open."
Bob,: It's locked.
Johnny,": Oh, it's locked."
Moira,: What do you want from us?
Bob,": Yes, it's... it's locked to prevent strangers from coming into the cabin."
Bob,"See, uh, we didn't realize that, uh, strangers would already be in the cabin when we locked it."
Johnny,: I see. Oh. Okay.
Moira,: Bye!
Johnny,: There we go.
Moira,: Thank you. Bye.
Johnny,": You've been consummate hosts, really. Fantastic day."
Johnny,(Door bangs shut)
Johnny,(Music plays)
Twyla,": Hey, Mutt, can you pass me a drink? Um..."
Twyla,"(Door bangs shut, muted chatter through door)"
Stevie,: Sorry. Hey!
David,: Hi!
David,Here's the thing.
David,"Um, I'm sorry that you and your sister are in a domestic, and I'm sorry that I invited Eric."
David,That joke was funnier in theory.
David,Bad joke.
David,But I'm gonna need you to come back in there.
David,: Why?
David,"Because I don't really like most of those people and, believe it or not, we are in the middle of a very intense game of drunken charades and my team is losing. Badly."
David,"Well, that's not really my thing."
David,"It's not my thing either, but you were right; We're way too similar and I am having a very hard time losing, so..."
David,I will happily let you get back to this big queen bed if you'll just help us win a few more rounds.
David,Just need somebody sober.
David,: I can't...
Stevie,: Please.
Stevie,Go back in there. It's embarrassing.
Stevie,They are way too drunk to remember.
Stevie,(Sighs)
Stevie,Just two winning rounds and then it's over.
Stevie,Then you can go back to your book.
David,: Fine. Fine. Two rounds.
Stevie,: You can go back to sleep.
David,: Quick. Quick rounds.
Stevie,: Thank you.
David,: Fine.
Stevie,: Thank you.
Stevie,": And just don't look at the stain on your bed, and we'll mime something special."
David,: What stain?
Stevie,: Uh...
David,: You're lucky I'm good at this game.
Dane,: Yes! A mexican...
Alexis,: Just get this one!
Moira,": Are you sure you don't want to call a tradesman or someone, John?"
Moira,"Moira, I don't need a tradesman."
Moira,"I can handle a screwdriver, okay?"
Moira,This is working out just... fine.
Moira,(Grunts of effort) And... that... is... in.
Moira,Look at this.
Moira,(Opens and closes door)
Moira,Instant lock.
Moira,": Yes, let me tell you, Eddie."
Moira,You look awfully good in that blue collar.
Johnny,": (Voice-breaking twang) Well, thank you very much, Mrs. Rose."
Johnny,I don't often get compliments when I'm fixing doors.
Johnny,"Oh, Edward, I'm afraid I must tell you, I shan't be able to pay you today."
Johnny,"(Voice-breaking twang) Well, that's okay, Mrs. Rose."
Johnny,"Maybe there's um... some other way you can pay me, if you get my drift."
Johnny,"(Door rips open, lock jingles uselessly)"
Johnny,Did you take my mask?
Johnny,Thank you.
Johnny,(Door bangs shut)
Johnny,"(Voice-breaking twang) Well, maybe I'll use a bigger screw, Mrs. Rose."
Johnny,Don't you go anywheres.
unknown,"Episode transcripts for the TV show ""Schitt's Creek"". Aired: January 2015 to April 2020.*"
Johnny,": Hey, Moira, could you turn that down please?"
Johnny,Important call coming through.
Johnny,Stevie says it's the guy from the winery.
Johnny,Hmm.
Johnny,(Sighs)
Johnny,(Phone rings)
Johnny,"Hello, Johnny Rose."
Johnny,(Phone continues ringing)
Johnny,Hello? Hello?
Johnny,Ah.
Johnny,(Door opens)
Johnny,Stevie?
Stevie,: I put it through!
Moira,: Who is it?
Johnny,: Herb Ertlinger.
Johnny,Excuse me?
Johnny,Herb Ertlinger from the winery.
Johnny,He's the only guy that's gotten back to me on my proposal (phone starts ringing) And-and now the ph- (picks up)
Johnny,Hi! Hello!
Johnny,(Phone continues ringing)
Johnny,(Yelling) There's something wrong with the phones!
Moira,": John, have her patch it through to the kids' room."
Moira,"(Yelling) Yeah, patch it through to the kids' room!"
Stevie,Very good suggestion!
Stevie,(Knocks on door)
Stevie,(Phone rings in kids' room)
Stevie,"David, answer the phone!"
Stevie,He has his headphones in; He can't hear it.
Stevie,Then you answer it!
Alexis,: Okay!
Alexis,(Phone continues ringing)
Alexis,Hello?
Alexis,"Alexis, could you open the door, please?"
Alexis,(Rattling door handle) I'll take it.
Alexis,": No, sorry, you have the wrong room."
Alexis,He's actually in room 6.
Johnny,": Alexis, unlock the door please!"
Johnny,Okay! No problem. Bye.
Johnny,He's gonna call you back in your room!
Johnny,No!
Johnny,(Phone starts ringing)
Johnny,Hello?
Johnny,(Phone keeps ringing)
Johnny,(Birds chirp)
David,Because I have not slept since we've got here and I think my body is shutting down.
David,"Well, I hate to admit it, but I actually know very little about heart murmurs."
David,"Well, I have one."
David,"Uh, the pulse is very irregular."
David,"Honestly, David, I have tried to find my pulse like a thousand times and nothing. So don't worry about it."
David,"My heart has not rested in a long time, my immune system is very low, I have not been able to find kale anywhere here- how long are we going to be talking about you for?"
David,"I think I'm having a heart attack, is what's happening!"
David,"David, you are like 34."
David,I'm basically 29.
David,"Oh my God, you are overreacting."
David,I think you're gonna feel very guilty when I slip into a coma and you have to come visit me in the hospital at hospice.
David,"Well, I'm gonna go for a jog, so don't die until I get back."
David,"Well, how long are you going for?"
David,"Um, I don't really know. How long are you gonna be like this for?"
David,Don't be a little b...
David,Bye!
David,When I'm this state!
David,(Door bangs shut)
David,(Birds chirp)
Herb Ertlinger,But the thing we're most proud of is that our fruit is 100% insecticide free.
Johnny,: Ah!
Moira,: Mm!
Moira,Mm! Mm. (Spitting something back)
Moira,There's something in mine.
Moira,"Oh, that's a ladybug. That's one of the good ones."
Moira,(Phone rings) Excuse me.
Moira,Herb Ertlinger...
Moira,"No, this tastes like something one should not put in their mouth."
Moira,It's fruit wine. Whoever heard of fruit wine?
Moira,"Doesn't matter, it's a business. I'll make it work."
Moira,"It's next to a landfill, John."
Moira,He said former landfill.
Herb Ertlinger,: Sorry. I was looking into a new sprayer.
Herb Ertlinger,And I brought you this...
Herb Ertlinger,It's our Cabernet Merlot petit grenache.
Moira and Johnny,: Oh!
Moira and Johnny,Sounds delightfully busy.
Moira and Johnny,"You know, uh, Herb, if you need any help with distribution, I have extensive contacts in that area, or if it's operations management..."
Moira and Johnny,it's actually not your help I'm looking for.
Moira and Johnny,Oh.
Moira and Johnny,"No. It's you, Moira."
Moira and Johnny,We were hoping that you will be the spokesperson for Herb Ertlinger fruit wines.
Moira and Johnny,I-I don't understand.
Moira and Johnny,"My wife and I were such big fans of ""Sunrise Bay."""
Moira and Johnny,And we would be an honoured to have you do just a few commercials to promote our wine.
Moira and Johnny,Like it? It's fruit wine. What's not to like?
Moira and Johnny,(Door opens forcefully)
Moira and Johnny,"So, an hour ago, I thought I was having a heart attack."
Stevie,: Oh no!
David,": Yup, yup. Yup."
David,"Um, but I'm not."
David,"Oh, phew!"
David,"According to Web MD, I'm having a pulmonary embolism, which is much, much worse."
David,"Well, you look good."
David,That's... just the way I look.
David,I need you to take me to a hospital right now.
David,"Yeah, the only hospital's in Elmdale."
David,You're telling me there's no doctor around here?
David,People just drop dead in the streets out of sheer neglect?
David,"Well, there is, technically, a doctor."
David,"Then, please take me to that doctor right now."
David,(Car rumbles by)
David,I think there's a lack of oxygen getting to my heart because I'm feeling very suffocated.
Vet,": Okay, right. Well, if it is a heart attack we're way too far away from the nearest hospital for you to make it through the night."
Vet,What?
Vet,Kidding.
Vet,Take a deep breath for me.
Vet,(Inhales deeply)
Vet,Good.
Vet,"Now, have you been around any feces in the past two days?"
Vet,(Snorts)
Vet,I don't n...
Vet,": So, no."
Vet,No.
Vet,"Okay. Well, the good thing is, I don't think that you need an ambulance, David, because what I think is happening here is you're having a panic attack."
Vet,"Oh no, those... Those aren't real."
Vet,Those are a PR spin for celebrity publicists.
Vet,"Trust me, I've known enough celebrities."
Vet,"No, it's absolutely a... A real thing."
Vet,"Uh, tell me, have you had any experiences lately that have caused you... Stress or anxiety?"
David,": Uh, well, I went from living in a 25 hundred square foot Soho live/workspace to a motel room with my sister."
David,Wow. Eek. That'll do it. (Chuckles)
David,"""Hello, I'm Moira Rose for Herb-"""
David,"""Oh, hi! I'm Moira Rose for Herb Ertlinger wines inviting you to try our latest offering, a fruity cab franc we call..."
David,"Oh, no. No, no, no. No good."
David,Uh...
David,"""Smokey tannins infuse this rich blend with a plummy bouquet."""
David,"""Plummy bouquet""? Is this guy for real?"
David,"His turns of phrase leave much to be desired, but the wine is potable."
David,You called it liquid stink this morning.
David,The whites seem less stinky.
David,How about this tote bag?
David,Two-ply toilet paper has more heft.
David,"I'm sensing negativity, John."
David,Is this because he did not take you up on your offer?
David,Are you kidding me? Come on!
David,"Hey, I haven't even given that guy a second's thought since I got home."
David,"I was doing him a favour, that's all."
David,I don't want him tarnishing your reputation.
David,"I mean, have you read the literature?"
David,Look at this.
David,"""The maximum benefit of the peachafication process."""
David,"""Peachafication!"" Who uses a word like ""peachafication""?"
David,A moron... would use that.
David,That moron is the first moron to offer me an acting role in a very long time.
David,"Well, he's lucky to have you."
David,"John, this commercial, in the right hands, could be..."
David,"I don't want to use the word ""comeback,"" that's... I don't wanna jinx it, but..."
David,"John, no one knows the business better than you do."
David,"Oh, honey, I'm just the money behind the scenes."
David,"Not that I don't have a few company commercials under my belt, but..."
David,"If you want me in your corner, I'm there."
David,"Oh, John. (Kiss) Thank you."
David,I'll do what I can.
David,Thank you.
David,"But seriously, how cheap ass is that bag?"
Alexis,": (Eyes shut) Ew, ew-ew, ew, ew!"
Mutt,: You have to open your eyes to get it in the bag!
Alexis,: Ugh! Good. Ugh!
Alexis,So can I ask you a question?
Alexis,(Thunder rumbles)
Alexis,Why do you always get dressed up to do this?
Alexis,"I mean, it doesn't seem very practical."
Alexis,: Naomi Campbell wore Dolce & Gabbana couture to her community service.
Alexis,And just because she was picking up roadkill did not mean that she needed to look like it.
Alexis,And I just always really admired her courage.
Alexis,(Garbage bag rustles)
Alexis,Um... I didn't understand a word you just said.
Alexis,"Besides, it's nice to uh... Change clothes every once in a while."
Alexis,Something you might wanna consider doing at some point.
Alexis,I change my clothes.
Alexis,They're just all the same.
Alexis,Uh-huh. Yeah.
Alexis,(Loud clap of thunder)
Alexis,"Oh! Well, at least now they'll get washed."
Alexis,(Rain pours)
Alexis,: Agghhhh!
Mutt,: Come on! Run!
Alexis,: (Laughing)
Alexis,(Surprised) What? It's actually nice in here.
Alexis,"Well, I'm not Valentino, but you know."
Alexis,"Okay, well, don't try and be funny about it."
Alexis,It just happens naturally.
Alexis,It's that um...
Alexis,"When a guy can pack his whole wardrobe into an overnight bag, you just don't really think that he'd be much of an interior designer."
Alexis,"Don't worry, they're fresh. They're clean."
Alexis,Hmm. Ooh! Smell that rock-beaten freshness.
Alexis,What?
Alexis,It's just I do beat my laundry against rocks.
Alexis,You're a freak.
Alexis,(Blows out his breath)
Alexis,(Towels rustle)
Alexis,(Inhales sharply)
Johnny,: What uh... what kind of lens are we using here?
Director,: It's uh... (Clears throat) It's a zoom lens.
Director,"Oh, zoom! Good, good, good."
Director,"Yup, yeah."
Director,Any primes?
Director,Any primes? Using any primes?
Director,Nah. Those are usually for feature films.
Director,"Yeah. Yeah. No, it's just I..."
Director,"What's the, uh, ring light situation?"
Director,Do you think we need an inkey?
Director,"Uh... I don't know, I don't know..."
Director,I... are we booming this... Today?
Director,(Door opens)
Alexis,: Ew! (Slams door)
David,: Shhh!
Alexis,: Why is it dark?
Alexis,(Blinds scrape open)
Alexis,"It's like a witch's house in here, David."
Alexis,Shush!
Alexis,What's going on?
Alexis,I am on day two of a panic attack and I have not slept at all.
Alexis,"Babe, you know that panic att*cks aren't real, right?"
Alexis,They're just things that celebrities make up to...
Alexis,"No, I know. I thought so too, but they are real and I'm having one apparently."
Alexis,Okay. Okay.
Alexis,"Well, while you were having your panic attack, I somehow agreed to attend a yoga class."
Alexis,That might be a good thing for me.
Alexis,"Okay, well, I'm not gonna go though."
Alexis,"That might help me relax, might help me calm down."
Alexis,"David, I just said I'm not gonna go."
Alexis,I don't wanna have to bring this up...
Alexis,But it's my turn to take a selfish.
Alexis,"No, David, Yes, it is."
Alexis,You selfished last time.
Alexis,"No. Dubai, 2010, I had to pick you up from that blind date that went terribly wrong."
Alexis,"It was a total disaster. It's my turn, and I wanna go to a yoga class."
Alexis,"Fine, I will go, but I am not happy about this at all."
Alexis,Okay. Get off my bed.
Alexis,"Ouch, David. Ouch, David!"
Alexis,: Ugh!
David,: Shut the curtains!
Moira,": Oh, some people like to exaggerate, especially in our business."
Make-up artist,: I dunno. A lot of people on set were saying it.
Make-up artist,He's making people nervous.
Make-up artist,I don't care what other's say. That's today's mantra.
Both,: (Laugh)
Both,You look awesome!
Both,Oh... (Giggles)
Johnny,: Hey! There she is!
Moira,: Hi!
Moira,"There's my TV star. Hi, sweetheart."
Moira,Hi!
Moira,Nervous?
Moira,"No, I'm good."
Moira,Good! Don't want you nervous!
Moira,No.
Moira,Is that the outfit you're wearing?
Moira,Yes. That's the one you and I chose together.
Moira,Oh. It looks a little less flattering in the daylight.
Moira,Johnny!
Moira,"No. I'm just saying, if there's another outfit-"
Moira,No! There's no second choice.
Moira,Really?
Moira,No.
Moira,"Oh, I don't know."
Young pa,: Cheese tray.
Johnny,": Whoa, whoa, cubby, what's this? Who ordered cheese?"
Moira,: I... I asked for cheese.
Johnny,": Oh no, no. No cheese."
Johnny,I don't think that's a good idea.
Johnny,What about the melon?
Johnny,You ordered melon?
Johnny,"No, I didn't."
Johnny,"No, well, let's see..."
Johnny,You know what? Looks a little soft.
Johnny,Why don't we eighty-six that plate.
Johnny,Johnny? Johnny?
Johnny,Yeah?
Johnny,"Crystal, do you mind?"
Johnny,"Yeah. Hey, crystal."
Moira,: Speak to my husband.
Crystal,: Hey.
Crystal,"Yeah... listen. The script, I wanna make a few line-"
Crystal,"No! John, no more changes."
Crystal,I was wondering if it might be better if you-
Crystal,Just directed. Just directed?
Crystal,"Believe me, I tried. That didn't fly."
Crystal,No. Went home.
Johnny,: Went home?
Moira,: Mm-hmm.
Moira,Why?
Moira,Because you're making me nervous.
Moira,And apparently you're making everyone nervous.
Moira,"No, no, no. Honey, I'm just trying to help."
Moira,"I'm just trying to be... You know, watching your back."
Moira,"I know, John. You're so good at trying."
Moira,"Now, I'm gonna call you as soon as I'm done."
Moira,: Crystal?
Crystal,: Yeah?
Crystal,"(Clears throat) Yeah, sure. Well, I can just uh..."
Crystal,"Yeah, I'll just uh... go home."
Crystal,: Bye.
Johnny,: All right.
Moira,: Bye.
Johnny,: All right. Have a good sh**t!
Johnny,"(Birds chirp outside, door closes)"
Crystal,: You look good.
Moira,": No, keep working please."
Moira,"(Birds chirp, gentle, calming music plays)"
Moira,Oh!
Moira,"Okay, I don't think I can do this."
Moira,There's a lot of people here.
Twyla,: Hey! You guys made it! Amazing!
Twyla,"It's a pairs class, so partner up."
Twyla,"Okay, well, I'm not touching you."
Twyla,"Well, I'm not touching you."
Jocelyn,": David, Hun."
David,: Oh!
Jocelyn,: Come join me.
David,: Oh... Jocelyn.
David,"Normally I do this with Roland, but he had a bad burrito so he's M.I.A."
David,Oh...
David,"Trust me, that's good news for everybody."
David,: I'm sure it is.
Twyla,": And Alexis, you can join Mutt."
Twyla,: Okay.
Twyla,This is gonna be good for you. Just relax.
David,": Oh, okay. All right."
Jocelyn,: Okay.
Mutt,: Hi.
Alexis,: Hey.
Jocelyn,Nervous breakdown.
Jocelyn,My... my what?
Jocelyn,"I was at the cafe. He didn't mention any names, but when he said it was someone ""precious,"" I knew."
Clapper-loader,: Slating!
Moira,: ...Somehow.
Moira,(Clapperboard claps)
Moira,: (Clears throat)
Crystal,: Remember to smile.
Crystal,"All right, get out of there, ladies!"
Crystal,Thank you.
Director,: And action!
Director,"Hello, I'm Moira Rose."
Director,"And if you like fruit wine as much as I do, discover a winery that pours care and craftsmanship into every glace."
Director,"(Gasps) Oh, I'm sorry."
Director,"I wanted to say glass, but I... was thinking case."
Director,: That was great. Loved it.
Director,"Uh, same energy. Back to one. Still rolling."
Crystal,: Check your teeth. Yeah.
Director,Still rolling... And when you're ready-
Moira,": Hold on, hold on, hold on! (Clears throat)"
Moira,Action.
Moira,"Hello, I'm Moira Rose, and if you enjoy flute line as much as-"
Director and crew,: (Laughing)
Moira,: What?
Director,"Oh. Oh, that is funny."
Director,And when you're ready... Action!
Director,"Hello, I'm moina rose, and if you Li-"
Director,"Okay, back to ones. Still rolling."
Moira,: Why? Why?
Director,": You said ""moina."""
Make-up artist,: You sure did.
Moira,: Are you sure?
Director,": Yeah. Yeah, it's cool."
Moira,: I'm good.
Director,: That's great. All right.
Moira,": Please, I'm good."
Director,": Get outta there, ladies."
Moira,": Please, yes."
Director,": And... when you're ready, action!"
Director,"(Silence, grass crunches underfoot)"
Director,Action.
Director,(Birds chirp)
Director,(Van rumbles to a stop)
Johnny,"You got it, Mr. Rose."
Voice 1,": (Conversation over PA's walkie) Yeah, we're talking to her now."
Voice 2,: Where'd she go?
Voice 1,: Apparently she just locked herself in the bathroom.
Voice 1,Maybe I should get back in the car?
Voice 1,"I'm guessing, yes."
Voice 1,"(Car door bangs shut, van rumbles away)"
Twyla,": Rolling the shoulders back and down, lengthen..."
David,": It's just all these feelings of displacement, you know?"
David,Like I've...
Jocelyn,: Yeah...
Jocelyn,I think I'm just having a very hard time adjusting to the overall aesthetic of the town.
Jocelyn,": Mm-hmm, mm-hmm."
David,: Um...
David,And it's just running through my head and I've been...
Jocelyn,": Yeah, lots of talking. Lots of emoting."
Jocelyn,"That's good, David. Yeah. Um, have you tried sex?"
David,: Excuse me?
Jocelyn,: Sex puts me right to sleep.
Jocelyn,You should have lots and lots of sex.
David,: Ugh...
Twyla,"and partners roll your biceps out and up, guiding the hips wide and back."
David,: Is everyone doing this?
Jocelyn,: Mm-hmm.
Alexis,": Um, how's your back?"
Mutt,: It's good.
Mutt,"I mean, normally, it's a little tight, but..."
Alexis,": Yeah, it is. I mean I-I haven't noticed."
Alexis,"I have noticed, I haven't-"
Alexis,"I haven't ""noticed"" noticed, so... (Laughs awkwardly)"
Twyla,: How're we doing here?
Alexis,: Good. Super good.
Alexis,Um... this is a very challenging...
Alexis,"Yoga class, Twyla. Thank you."
Twyla,": Thanks! Yeah, so just hold Mutt's lower back here just to support him."
Alexis,: Okay.
Twyla,: Good.
Twyla,Mm-hmm.
Twyla,"Let's bring it down... Oh, no!"
Mutt,: Oh!
Twyla,: Mutt should support his own thigh.
Twyla,Omigod! Omigod! I'm so sorry.
Twyla,I'm sssso sorry.
Twyla,It's okay. Yeah.
Twyla,"Wow, I'm so sorry."
Twyla,(Birds chirp)
Twyla,"(Rattles door handle, knocks on door)"
Twyla,Moira? It's me.
Johnny,: You okay?
Moira,"Let me in, sweetheart."
Moira,There's a knob on the door.
Moira,": No, I mean I don't know how to do this anymore!"
Moira,"(Loud thunk, door pops open)"
Moira,How did you open the door?
Moira,I threw a shoe.
Moira,"(Sips wine, door bangs closed)"
Moira,This wine is aw-ful! Give me another glass.
Moira,"Well, I think maybe we've had... Enough wine, sweetheart."
Moira,"I, I can't feel my tongue."
Moira,But I know it's there because I'm talking.
Moira,"Moira, you should hear what they're saying about you out there."
Moira,You are doing great.
Moira,"No. No, John. No."
Moira,"No, John, I ruined it. I ruined everything."
Moira,"No, no, you didn't."
Moira,I did!
Moira,"No, sweetheart, I ruined everything. I ruined it."
